Date,GrossLeverage
2015-10-30 23:59:59.999989,3.878192749027794e-06
2015-11-06 23:59:59.999989,-1.4831019153969077e-06
2015-11-13 23:59:59.999989,-4.8761178219797265e-06
2015-11-20 23:59:59.999989,1.0345551203723643e-07
2015-11-27 23:59:59.999989,3.1996798288162075e-07
2015-12-04 23:59:59.999989,5.6667824099106025e-06
2015-12-11 23:59:59.999989,4.883788222910335e-06
2015-12-18 23:59:59.999989,-3.9913271971200427e-07
2015-12-24 23:59:59.999989,-4.375393453421757e-06
2015-12-31 23:59:59.999989,-7.024459090895189e-06
2016-01-08 23:59:59.999989,3.431229744087064e-06
2016-01-15 23:59:59.999989,3.6946592130646525e-06
2016-01-22 23:59:59.999989,-1.1686924336051723e-05
2016-01-29 23:59:59.999989,-1.1131325972309403e-06
2016-02-05 23:59:59.999989,1.5467374415792269e-06
2016-02-12 23:59:59.999989,-5.966297216030399e-06
2016-02-19 23:59:59.999989,-2.133208803953426e-06
2016-02-26 23:59:59.999989,-9.011477700818584e-08
2016-03-04 23:59:59.999989,2.438722416859351e-07
2016-03-11 23:59:59.999989,-2.7004878591077933e-06
2016-03-18 23:59:59.999989,3.0683549601865554e-06
2016-03-24 23:59:59.999989,-3.892511795751257e-06
2016-04-01 23:59:59.999989,2.3689659840753702e-06
2016-04-08 23:59:59.999989,7.993946127005634e-07
2016-04-15 23:59:59.999989,-3.0129344921758935e-07
2016-04-22 23:59:59.999989,3.7314301955637944e-06
2016-04-29 23:59:59.999989,2.942883281794135e-07
2016-05-06 23:59:59.999989,2.8068463671524034e-06
2016-05-13 23:59:59.999989,-2.1943514722222033e-06
2016-05-20 23:59:59.999989,-4.784140730118022e-06
2016-05-27 23:59:59.999989,-5.697400698884986e-07
2016-06-03 23:59:59.999989,-8.275081022319519e-07
2016-06-10 23:59:59.999989,3.3354434889517883e-07
2016-06-17 23:59:59.999989,-1.928586373797433e-06
2016-06-24 23:59:59.999989,-7.817880205098392e-06
2016-07-01 23:59:59.999989,-3.2805908663858185e-06
2016-07-08 23:59:59.999989,2.845004537669588e-06
2016-07-15 23:59:59.999989,3.0224364579869302e-06
2016-07-22 23:59:59.999989,1.5875048133836073e-06
2016-07-29 23:59:59.999989,-3.231954062610882e-06
2016-08-05 23:59:59.999989,-1.2547949429032818e-05
2016-08-12 23:59:59.999989,-3.389895753956763e-06
2016-08-19 23:59:59.999989,1.2908901807794638e-06
2016-08-26 23:59:59.999989,-7.170224290827313e-06
2016-09-02 23:59:59.999989,-2.6548401016242913e-06
2016-09-09 23:59:59.999989,-2.1507290488898284e-06
2016-09-16 23:59:59.999989,-1.182481192131005e-05
2016-09-23 23:59:59.999989,-7.849832873818126e-06
2016-09-30 23:59:59.999989,-7.439602021710693e-06
2016-10-07 23:59:59.999989,-4.2571465543241007e-07
2016-10-14 23:59:59.999989,-4.81635328926619e-06
2016-10-21 23:59:59.999989,1.267803113271612e-06
2016-10-28 23:59:59.999989,4.4938479998476755e-07
2016-11-04 23:59:59.999989,3.0122345922442566e-06
2016-11-11 23:59:59.999989,-6.4233656943176565e-06
2016-11-18 23:59:59.999989,7.917844793289096e-06
2016-11-25 23:59:59.999989,-4.6859816414021114e-06
2016-12-02 23:59:59.999989,1.8889099872920298e-06
2016-12-09 23:59:59.999989,-1.7945827622162355e-06
2016-12-16 23:59:59.999989,5.564418575994394e-07
2016-12-23 23:59:59.999989,-2.9522777463659712e-06
2016-12-30 23:59:59.999989,-3.023302940549848e-06
2017-01-06 23:59:59.999989,4.505642934880339e-07
2017-01-13 23:59:59.999989,5.62504629580077e-07
2017-01-20 23:59:59.999989,-4.030410653388629e-06
2017-01-27 23:59:59.999989,7.021336872789058e-07
2017-02-03 23:59:59.999989,3.3079513684415846e-06
2017-02-10 23:59:59.999989,3.5559144582894043e-06
2017-02-17 23:59:59.999989,3.7036473912877605e-06
2017-02-24 23:59:59.999989,-3.173022095651525e-06
2017-03-03 23:59:59.999989,1.7085029725692906e-07
2017-03-10 23:59:59.999989,3.2247134937324264e-06
2017-03-17 23:59:59.999989,-7.499892931968187e-06
2017-03-24 23:59:59.999989,2.2057872072874625e-07
2017-03-31 23:59:59.999989,1.340835643491859e-06
2017-04-07 23:59:59.999989,5.857807018572417e-06
2017-04-13 23:59:59.999989,6.694908595276408e-06
2017-04-21 23:59:59.999989,-3.71000807617431e-06
2017-04-28 23:59:59.999989,7.577382730867621e-06
2017-05-05 23:59:59.999989,6.21777153993735e-06
2017-05-12 23:59:59.999989,-2.7282026755613665e-06
2017-05-19 23:59:59.999989,3.972971257999614e-06
2017-05-26 23:59:59.999989,1.731801364911471e-06
2017-06-02 23:59:59.999989,3.095832299396557e-06
2017-06-09 23:59:59.999989,-4.120300368949113e-06
2017-06-16 23:59:59.999989,4.245264595543272e-06
2017-06-23 23:59:59.999989,2.063550990434927e-06
2017-06-30 23:59:59.999989,3.433237126165032e-07
2017-07-07 23:59:59.999989,5.950007568300564e-06
2017-07-14 23:59:59.999989,6.267270799424798e-07
2017-07-21 23:59:59.999989,-3.1123294096114393e-06
2017-07-28 23:59:59.999989,7.732256859106775e-07
2017-08-04 23:59:59.999989,-1.7690213281575853e-05
2017-08-11 23:59:59.999989,4.375822361188183e-06
2017-08-18 23:59:59.999989,-1.1302579870536436e-06
2017-08-25 23:59:59.999989,2.600853320805841e-06
2017-09-01 23:59:59.999989,6.462553116864922e-06
2017-09-08 23:59:59.999989,2.633139280441131e-06
2017-09-15 23:59:59.999989,-3.0621152116853417e-06
2017-09-22 23:59:59.999989,-1.275817198763778e-06
2017-09-29 23:59:59.999989,7.925068003512525e-07
2017-10-06 23:59:59.999989,5.093518347908112e-06
2017-10-13 23:59:59.999989,1.3710155738657263e-06
2017-10-20 23:59:59.999989,-3.0749792672673406e-06
2017-10-27 23:59:59.999989,-3.735526865521558e-06
2017-11-03 23:59:59.999989,4.219016189587318e-07
2017-11-10 23:59:59.999989,1.860005666767074e-06
2017-11-17 23:59:59.999989,1.3642264158079367e-06
2017-11-24 23:59:59.999989,8.11879243616113e-07
2017-12-01 23:59:59.999989,-4.8227671739368e-07
2017-12-08 23:59:59.999989,5.7874663313289266e-08
2017-12-15 23:59:59.999989,1.919687272713404e-05
2017-12-22 23:59:59.999989,3.9390903277761484e-06
2017-12-29 23:59:59.999989,4.0233053427307925e-07
2018-01-05 23:59:59.999989,2.958081172444204e-07
2018-01-12 23:59:59.999989,3.951556600748687e-06
2018-01-19 23:59:59.999989,2.8367563110699375e-06
2018-01-26 23:59:59.999989,4.714809619006007e-06
